department,topic,content,source_sheet,source_row,anonymization_note
Pain & Sleep Disorders,insomnia symptoms,"Insomnia may involve difficulty falling asleep, repeated night-time awakening, early morning awakening, reduced sleep quality, or shortened total sleep time, and should be interpreted together with daytime distress or impaired function.","睡眠知识",2,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,insomnia treatment goals,"The overall goals of insomnia management include improving sleep quality or effective sleep duration, preventing short-term insomnia from becoming chronic, reducing insomnia-related physical or mental-health burden, restoring daytime function, and minimizing adverse effects from interventions.","睡眠知识",3,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,insomnia intervention options,"Common intervention categories for insomnia include medication treatment, psychological treatment, physical treatment, and traditional Chinese medicine approaches; the appropriate option depends on clinical assessment.","睡眠知识",4,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,chronic insomnia first-line options,"For chronic insomnia that persists after identifying and addressing precipitating factors, cognitive behavioral therapy for insomnia and medication treatment are commonly considered major treatment options.","睡眠知识",5,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,sleep hygiene,"Sleep-hygiene education is important in insomnia care and should provide a foundation before or alongside other treatment approaches.","睡眠知识",7,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,sleep evaluation history,"During sleep-related consultation, clinicians may ask about difficulty falling asleep, night awakenings, early awakening, unusual movements or behaviors during sleep, severity, duration, triggers, relieving factors, sleep-wake rhythm, and prior treatment.","相关检查",2,"Translated and generalized from the knowledge-base workbook; administrative rows and contact information were excluded."
Pain & Sleep Disorders,sleep assessment tools,"Sleep scales and sleep diaries can help clinicians evaluate sleep symptoms and support diagnostic assessment.","相关检查",3,"Translated and generalized from the knowledge-base workbook; administrative rows and contact information were excluded."
Pain & Sleep Disorders,sleep diagnostic tests,"Depending on the clinical situation, diagnostic evaluation may include blood tests, imaging such as CT or MRI, polysomnography, actigraphy, or other assessments selected by the clinician.","相关检查",4,"Translated and generalized from the knowledge-base workbook; administrative rows and contact information were excluded."
Pain & Sleep Disorders,headache evaluation,"Headache can have many causes, and assessment generally requires detailed history-taking, physical examination, and necessary auxiliary examinations considered together.","疼痛知识",2,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,headache auxiliary tests,"Depending on the case, clinicians may selectively use blood tests, neuroimaging, head and neck vascular evaluation, ophthalmology or otolaryngology assessment, lumbar puncture, or other tests to clarify headache-related problems.","疼痛知识",3,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,headache warning signs,"Headache education should emphasize recognition of warning signs that may suggest secondary causes such as space-occupying lesions, vascular disease, infection, metabolic disorders, or systemic disease.","疼痛知识",4,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,migraine features,"Migraine may present as unilateral or bilateral pulsating moderate-to-severe headache, often accompanied by photophobia, phonophobia, nausea, or vomiting, and may worsen with activity.","疼痛知识",5,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,cervicogenic headache location,"Cervicogenic headache often begins in the neck or occipital region and may spread to the frontal, temporal, or orbital region, commonly on the affected side.","疼痛补充",3,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
Pain & Sleep Disorders,cervicogenic headache characteristics,"Cervicogenic headache may be dull, distending, or pulling in quality, is often deep and non-pulsating, and may worsen with neck movement, fatigue, or poor posture while improving with rest.","疼痛补充",4,"Translated and generalized from the knowledge-base workbook; no patient identifiers or site contact details."
